$LINK:NO	NAME	LINKBEHAVTYPE	DISPLAYTYPE	LEVEL	LENGTH2D	WKTLOCWGS84	WKTPOLYLINEWGS84
19		3	1	1	41.611	POINT(144.6032410562 -37.6972092845)	LINESTRING(144.6034174002 -37.6973325328,144.6033825364 -37.6973188205,144.6033492889 -37.6973029875,144.6033174994 -37.6972852803,144.6032870095 -37.6972659456,144.6032576609 -37.6972452299,144.6032292951 -37.6972233798,144.6032017539 -37.6972006419,144.6031748789 -37.6971772628,144.6031485116 -37.6971534890,144.6031224939 -37.6971295673,144.6030966672 -37.6971057442,144.6030708732 -37.6970822662)
20		3	1	1	23.007	POINT(144.6030559593 -37.6971523966)	LINESTRING(144.6031253638 -37.6972401384,144.6029865548 -37.6970646546)
21	High Street Drive WA	1	1	1	58.148	POINT(144.6024584455 -37.6891462783)	LINESTRING(144.6022068720 -37.6889765110,144.6027100190 -37.6893160452)
23	Paynes Rd	1	1	1	417.963	POINT(144.6368093636 -37.7162652697)	LINESTRING(144.6371109120 -37.7144005109,144.6365078152 -37.7181299815)
24	Paynes Rd SA	1	1	1	414.924	POINT(144.6367433045 -37.7162733950)	LINESTRING(144.6364402502 -37.7181241724,144.6370463588 -37.7144225714)
27	Troups Rd N	1	1	1	10.991	POINT(144.6708057363 -37.7352360455)	LINESTRING(144.6708343020 -37.7351920858,144.6707771707 -37.7352800053)
28	Troups Rd N	1	1	1	16.703	POINT(144.6707614283 -37.7352051727)	LINESTRING(144.6707302300 -37.7352761149,144.6707926266 -37.7351342304)
29	Western Hwy	1	1	1	251.591	POINT(144.6694909148 -37.7346708310)	LINESTRING(144.6706547274 -37.7353284611,144.6702662332 -37.7351323506,144.6683281341 -37.7340126373)
30	Western Hwy WA	1	1	1	250.266	POINT(144.6695110568 -37.7346392843)	LINESTRING(144.6683518671 -37.7339873655,144.6702971345 -37.7351033233,144.6706712874 -37.7352906392)
31	Troups Rd N	1	1	1	102.864	POINT(144.6706535011 -37.7358644217)	LINESTRING(144.6707372986 -37.7354066470,144.6705697036 -37.7363221936)
32	Troups Rd N SA	1	1	1	102.949	POINT(144.6706115564 -37.7358593615)	LINESTRING(144.6705302888 -37.7363178048,144.6706928239 -37.7354009154)
33	Neales Rd W WA	1	1	1	633.344	POINT(144.6974222858 -37.7405918560)	LINESTRING(144.6938535176 -37.7402193979,144.7009182143 -37.7409634041,144.7009934230 -37.7409641758)
34	Neales Rd W	1	1	1	634.938	POINT(144.6974273259 -37.7406308805)	LINESTRING(144.7010063459 -37.7410053169,144.6938483059 -37.7402564421)
35	Neales Rd W	1	1	1	108.844	POINT(144.7020774385 -37.7410625827)	LINESTRING(144.7014637643 -37.7409992380,144.7026911126 -37.7411259274)
36	Neales Rd W EA	1	1	1	341.217	POINT(144.7045929874 -37.7413849864)	LINESTRING(144.7065149840 -37.7415942724,144.7026709907 -37.7411756998)
37		3	1	1	73.857	POINT(144.7003086960 -37.7426603396)	LINESTRING(144.7007285022 -37.7426688445,144.6998888899 -37.7426518347)
43	Hopkins Rd	1	1	1	362.975	POINT(144.7007151660 -37.7452524972)	LINESTRING(144.7007445645 -37.7436294380,144.7007239025 -37.7437572505,144.7006903435 -37.7440032921,144.7006608370 -37.7442445673,144.7006418429 -37.7444143673,144.7006262626 -37.7446243698,144.7006089973 -37.7449334584,144.7005989552 -37.7452081323,144.7006378695 -37.7459203428,144.7006887355 -37.7463050716,144.7008317706 -37.7468744502)
44	Hopkins Rd	1	1	1	89.091	POINT(144.7008930491 -37.7472603643)	LINESTRING(144.7010329396 -37.7476454661,144.7009886759 -37.7475166339,144.7009422197 -37.7473882795,144.7008945001 -37.7472601996,144.7008464459 -37.7471321906,144.7007989861 -37.7470040491,144.7007530496 -37.7468755716)
47	Hopkins Rd	1	1	1	24.272	POINT(144.7016637083 -37.7482939691)	LINESTRING(144.7016284369 -37.7481884680,144.7016989798 -37.7483994701)
55	Hopkins Rd	1	1	1	70.464	POINT(144.7024039084 -37.7496057272)	LINESTRING(144.7021724763 -37.7493471307,144.7026353406 -37.7498643227)
60	Caroline Springs Blvd	1	1	1	44.399	POINT(144.7400684732 -37.7529789895)	LINESTRING(144.7401081920 -37.7527834240,144.7400747435 -37.7529252729,144.7400478196 -37.7530270380,144.7400292397 -37.7531772593)
61	Caroline Springs Blvd	1	1	1	9.530	POINT(144.7402133501 -37.7532837643)	LINESTRING(144.7402190329 -37.7532411592,144.7402076673 -37.7533263694)
64	Caroline Springs Blvd	1	1	1	84.605	POINT(144.7401006688 -37.7542181831)	LINESTRING(144.7401965274 -37.7538544974,144.7401910784 -37.7539221927,144.7401863700 -37.7539899535,144.7401801803 -37.7540575833,144.7401702873 -37.7541248856,144.7401600504 -37.7541672623,144.7401470441 -37.7542092376,144.7401339749 -37.7542512055,144.7401235496 -37.7542935599,144.7401200431 -37.7543450282,144.7401220296 -37.7543973850,144.7401192529 -37.7544485495,144.7401014568 -37.7544964410,144.7400812644 -37.7545184817,144.7400545512 -37.7545365974,144.7400252297 -37.7545531433,144.7399972123 -37.7545704740)
65	Ballarat Rd  Western Hwy	1	1	1	14.249	POINT(144.7480942996 -37.7593671139)	LINESTRING(144.7481645746 -37.7593989841,144.7480240246 -37.7593352437)
66	Meskos Rd	1	1	1	200.845	POINT(144.7010692630 -37.7487198505)	LINESTRING(144.7018266316 -37.7492719929,144.7017748639 -37.7492919773,144.7017205203 -37.7493060053,144.7016699401 -37.7493120743,144.7016185162 -37.7493133776,144.7015669562 -37.7493108565,144.7015159678 -37.7493054522,144.7014638785 -37.7492977082,144.7014123191 -37.7492871439,144.7013626949 -37.7492726134,144.7013164114 -37.7492529711,144.7012562778 -37.7492152542,144.7012034290 -37.7491705600,144.7011548475 -37.7491221641,144.7011075158 -37.7490733422,144.7009832761 -37.7489402245,144.7008668551 -37.7488025986,144.7007543031 -37.7486627827,144.7006416702 -37.7485230953,144.7005602496 -37.7484225611,144.7004799532 -37.7483214586,144.7004001066 -37.7482201288,144.7003200351 -37.7481189124)
67	Meskos Rd WA	1	1	1	118.758	POINT(144.7007232631 -37.7485514680)	LINESTRING(144.7003561629 -37.7481033243,144.7005431309 -37.7483375657,144.7007274042 -37.7485733108,144.7009170669 -37.7488060461,144.7010909904 -37.7489988706)
68	Mount Cottrell Rd SA	1	1	1	437.611	POINT(144.6207624964 -37.7046261000)	LINESTRING(144.6205365225 -37.7065823694,144.6209882874 -37.7035616107,144.6209674200 -37.7031305882,144.6209525397 -37.7028215719,144.6209020742 -37.7026719895)
69	Mount Cottrell Rd	1	1	1	415.622	POINT(144.6208151534 -37.7047269414)	LINESTRING(144.6210287373 -37.7028689407,144.6210566285 -37.7031928970,144.6210593758 -37.7033418091,144.6209884304 -37.7040426211,144.6209146793 -37.7045084494,144.6205707505 -37.7065839188)
70		3	1	1	78.612	POINT(144.6993484594 -37.7427707897)	LINESTRING(144.6997778107 -37.7426717450,144.6997043912 -37.7426714261,144.6996299319 -37.7426738583,144.6995549615 -37.7426791688,144.6994800085 -37.7426874851,144.6994056016 -37.7426989344,144.6993322693 -37.7427136441,144.6992605403 -37.7427317416,144.6991909432 -37.7427533541,144.6991240066 -37.7427786091,144.6990602591 -37.7428076338,144.6990002293 -37.7428405557,144.6989444458 -37.7428775020)
72	Western Hwy	3	1	1	200.826	POINT(144.6327687819 -37.7104435251)	LINESTRING(144.6319261686 -37.7098341391,144.6327305659 -37.7104349825,144.6336128452 -37.7110518582)
73	Western Hwy	3	1	1	2099.294	POINT(144.6821828691 -37.7384933386)	LINESTRING(144.6712409536 -37.7347394468,144.6713433241 -37.7347794822,144.6714454834 -37.7348198697,144.6715475899 -37.7348603453,144.6716498020 -37.7349006447,144.6717522780 -37.7349405039,144.6718551764 -37.7349796586,144.6719586556 -37.7350178448,144.6720568468 -37.7350527719,144.6721555488 -37.7350867861,144.6722546251 -37.7351201309,144.6723539394 -37.7351530499,144.6724533553 -37.7351857864,144.6725527366 -37.7352185842,144.6726519468 -37.7352516867,144.6741065283 -37.7357446487,144.6755590708 -37.7362415497,144.6770112218 -37.7367392127,144.6784646291 -37.7372344607,144.6799209403 -37.7377241168,144.6813818030 -37.7382050042,144.6828488649 -37.7386739461,144.6830351596 -37.7387314619,144.6832221727 -37.7387875000,144.6834097232 -37.7388424312,144.6835976300 -37.7388966268,144.6837857121 -37.7389504576,144.6839737886 -37.7390042949,144.6841616784 -37.7390585096,144.6843470001 -37.7391123546,144.6845323303 -37.7391661836,144.6847177027 -37.7392199218,144.6849031514 -37.7392734940,144.6850887099 -37.7393268253,144.6852744123 -37.7393798406,144.6854602923 -37.7394324649,144.6856187911 -37.7394763909,144.6857777217 -37.7395193663,144.6859368432 -37.7395619179,144.6860959146 -37.7396045727,144.6862546950 -37.7396478575,144.6864129433 -37.7396922992,144.6865704186 -37.7397384246,144.6866967834 -37.7397767378,144.6868228233 -37.7398157485,144.6869484885 -37.7398555203,144.6870737291 -37.7398961171,144.6871984953 -37.7399376026,144.6873227374 -37.7399800404,144.6874464054 -37.7400234944,144.6875986014 -37.7400788789,144.6877498416 -37.7401358774,144.6879003356 -37.7401941313,144.6880502928 -37.7402532818,144.6881999226 -37.7403129703,144.6883494344 -37.7403728381,144.6884990376 -37.7404325264,144.6886534495 -37.7404943220,144.6888074869 -37.7405567001,144.6889612826 -37.7406194543,144.6891149695 -37.7406823782,144.6892686802 -37.7407452654,144.6894225478 -37.7408079094,144.6895767048 -37.7408701038,144.6897577673 -37.7409426358,144.6899389310 -37.7410150114,144.6901202180 -37.7410871940,144.6903016502 -37.7411591474,144.6904832498 -37.7412308352,144.6906650387 -37.7413022208,144.6908470390 -37.7413732680,144.6909896030 -37.7414284615,144.6911324011 -37.7414832753,144.6912753629 -37.7415378236,144.6914184182 -37.7415922204,144.6915614966 -37.7416465799,144.6917045279 -37.7417010160,144.6918474417 -37.7417556430,144.6920300304 -37.7418257027,144.6922125714 -37.7418958402,144.6923950776 -37.7419660341,144.6925775620 -37.7420362633,144.6927600378 -37.7421065066,144.6929425180 -37.7421767427,144.6931250155 -37.7422469505)
78	Western Hwy	3	1	1	1015.953	POINT(144.6657004984 -37.7315675583)	LINESTRING(144.6610574868 -37.7288500662,144.6685954881 -37.7332485073,144.6698945346 -37.7340396791,144.6703445935 -37.7342843402)
82	Sheahan Rd	1	1	1	176.030	POINT(144.7032190390 -37.7490820308)	LINESTRING(144.7022350317 -37.7491462034,144.7027579289 -37.7490195366,144.7030944539 -37.7490185514,144.7042068168 -37.7491100442)
83	Sheahan Rd EA	1	1	1	73.659	POINT(144.7037883720 -37.7491223697)	LINESTRING(144.7042048754 -37.7491571326,144.7033718686 -37.7490876068)
84	Western Fwy	3	1	1	909.603	POINT(144.6037638419 -37.6953828276)	LINESTRING(144.5986086473 -37.6950884319,144.5997983233 -37.6951361910,144.6010067197 -37.6951733239,144.6022150459 -37.6952117419,144.6034231966 -37.6952533728,144.6040549976 -37.6952764540,144.6046867455 -37.6953005191,144.6053183520 -37.6953266481,144.6059497289 -37.6953559211,144.6061712245 -37.6953670805,144.6063926604 -37.6953790304,144.6066139636 -37.6953923280,144.6068350609 -37.6954075303,144.6070413924 -37.6954233588,144.6072475516 -37.6954406337,144.6074534271 -37.6954598236,144.6076589075 -37.6954813969,144.6078438829 -37.6955028879,144.6080285145 -37.6955262593,144.6082126570 -37.6955518724,144.6083961650 -37.6955800885,144.6085255522 -37.6956026259,144.6086543255 -37.6956273476,144.6087828533 -37.6956529430,144.6089115039 -37.6956781016)
89	Western Hwy	2	2	1	194.502	POINT(144.6565107315 -37.7261338933)	LINESTRING(144.6556266174 -37.7256084027,144.6573948456 -37.7266593803)
90	Western Hwy	3	1	1	302.246	POINT(144.6589417881 -37.7275875039)	LINESTRING(144.6575634925 -37.7267756116,144.6603200838 -37.7283993872)
91	Ballarat Rd  Western Hwy	1	1	1	76.206	POINT(144.7417919643 -37.7566591793)	LINESTRING(144.7413961820 -37.7565197398,144.7421877466 -37.7567986185)
92	Ballarat Rd  Western Hwy	1	1	1	14.722	POINT(144.7422530099 -37.7566826886)	LINESTRING(144.7422203756 -37.7566215169,144.7422517810 -37.7566832400,144.7422859599 -37.7567432743)
94	Melton Hwy NA	1	1	1	76.409	POINT(144.6064981947 -37.6858570458)	LINESTRING(144.6066094566 -37.6855246961,144.6063869328 -37.6861893940)
95	Melton Hwy	1	1	1	216.107	POINT(144.6061120403 -37.6864401088)	LINESTRING(144.6057934304 -37.6873792524,144.6064306502 -37.6855009532)
99	Western Hwy	2	2	1	120.743	POINT(144.6474651420 -37.7213234120)	LINESTRING(144.6480228523 -37.7216400953,144.6469074317 -37.7210067273)
103	Western Hwy	3	1	1	844.433	POINT(144.6515496718 -37.7232389960)	LINESTRING(144.6476976556 -37.7209718613,144.6554016881 -37.7255060613)
104		3	1	1	781.257	POINT(144.6979004932 -37.7456790747)	LINESTRING(144.7008834519 -37.7479299440,144.7008722005 -37.7479239807,144.7008609636 -37.7479180005,144.7008497631 -37.7479119780,144.7008386199 -37.7479058625,144.7008275281 -37.7478996880,144.7008164218 -37.7478935305,144.7008052348 -37.7478874660,144.7007940164 -37.7478814830,144.7007827609 -37.7478755416,144.7007714080 -37.7478697215,144.7007598972 -37.7478641024,144.7007482699 -37.7478586735,144.7007365268 -37.7478533968,144.7007246286 -37.7478483498,144.7007125363 -37.7478436097,144.7007009148 -37.7478394671,144.7006891283 -37.7478356163,144.7006772191 -37.7478320010,144.7006652294 -37.7478285647,144.7006531028 -37.7478253486,144.7006408747 -37.7478223744,144.7006285969 -37.7478195208,144.7006163211 -37.7478166664,144.7006040079 -37.7478138463,144.7005916645 -37.7478111067,144.7005793372 -37.7478083256,144.7005670725 -37.7478053809,144.7005549152 -37.7478022558,144.7005428096 -37.7477990053,144.7005307535 -37.7477956410,144.7005187448 -37.7477921742,144.7005025945 -37.7477873197,144.7004865239 -37.7477823003,144.7004705012 -37.7477771833,144.7004544948 -37.7477720358,144.7004384518 -37.7477669020,144.7004224210 -37.7477617427,144.7004064481 -37.7477564760,144.7003905789 -37.7477510197,144.7003748476 -37.7477454197,144.7003591906 -37.7477396865,144.7003436651 -37.7477337405,144.7003283283 -37.7477275023,144.7003132210 -37.7477209932,144.7002982853 -37.7477142340,144.7002835575 -37.7477071984,144.7002690741 -37.7476998602,144.7002577897 -37.7476937729,144.7002467122 -37.7476874470,144.7002358187 -37.7476809214,144.7002250863 -37.7476742351,144.7002144999 -37.7476673645,144.7002040996 -37.7476603154,144.7001938612 -37.7476531177,144.7001837609 -37.7476458015,144.7001737910 -37.7476383459,144.7001639816 -37.7476307566,144.7001543057 -37.7476230597,144.7001447362 -37.7476152813,144.7001352990 -37.7476074325,144.7001259872 -37.7475994898,144.7001167784 -37.7475914716,144.7001076503 -37.7475833966,144.7000976581 -37.7475744417,144.7000877561 -37.7475654236,144.7000779698 -37.7475563274,144.7000683251 -37.7475471381,144.7000587833 -37.7475378481,144.7000493609 -37.7475284808,144.7000401068 -37.7475190106,144.7000310699 -37.7475094121,144.7000222557 -37.7474997193,144.7000136285 -37.7474899194,144.7000052433 -37.7474799910,144.6999971553 -37.7474699129,144.6999893717 -37.7474597237,144.6999818541 -37.7474494065,144.6999746614 -37.7474389480,144.6999678523 -37.7474283348,144.6999626719 -37.7474196023,144.6999578046 -37.7474107543,144.6999532200 -37.7474018109,144.6999488876 -37.7473927922,144.6999448289 -37.7473836658,144.6999410626 -37.7473744588,144.6999375146 -37.7473651955,144.6999341108 -37.7473559001,144.6999308651 -37.7473465361,144.6999278154 -37.7473371299,144.6999248865 -37.7473276986,144.6999220030 -37.7473182592,144.6999191616 -37.7473088307,144.6999163935 -37.7472993885,144.6999136908 -37.7472899344,144.6999110452 -37.7472804703,144.6999084409 -37.7472710122,144.6999058843 -37.7472615457,144.6999034121 -37.7472520655,144.6999010612 -37.7472425665,144.6998988405 -37.7472330419,144.6998967320 -37.7472235009,144.6998947273 -37.7472139459,144.6998928185 -37.7472043789,144.6998910079 -37.7471947981,144.6998892987 -37.7471852053,144.6998876829 -37.7471756023,144.6998861523 -37.7471659908,144.6998846913 -37.7471563773,144.6998833081 -37.7471467561,144.6998820334 -37.7471371260,144.6998808979 -37.7471274855,144.6998793283 -37.7471121541,144.6998779672 -37.7470968094,144.6998768045 -37.7470814543,144.6998758300 -37.7470660918,144.6998750923 -37.7470507116,144.6998745804 -37.7470353249,144.6998741928 -37.7470199350,144.6998738280 -37.7470045452,144.6998735195 -37.7469891462,144.6998733015 -37.7469737461,144.6998730726 -37.7469583461,144.6998727314 -37.7469429477,144.6998722720 -37.7469275582,144.6998717413 -37.7469121699,144.6998711179 -37.7468967839,144.6998703800 -37.7468814014,144.6998694001 -37.7468643127,144.6998682817 -37.7468472291,144.6998670830 -37.7468301487,144.6998658620 -37.7468130693,144.6998646231 -37.7467959906,144.6998633392 -37.7467789140,144.6998620204 -37.7467618390,144.6998606770 -37.7467447652,144.6998593056 -37.7467276925,144.6998579027 -37.7467106213,144.6998564787 -37.7466935512,144.6998550438 -37.7466764817,144.6998535823 -37.7466594138,144.6998520949 -37.7466423473,144.6998506163 -37.7466252803,144.6998491810 -37.7466082110,144.6998477132 -37.7465900259,144.6998462850 -37.7465718387,144.6998448793 -37.7465536505,144.6998434789 -37.7465354620,144.6998421158 -37.7465172679,144.6998407872 -37.7464990721,144.6998394229 -37.7464808782,144.6998379526 -37.7464626896,144.6998364004 -37.7464445123,144.6998347892 -37.7464263380,144.6998330487 -37.7464081717,144.6998311089 -37.7463900185,144.6998289491 -37.7463718870,144.6998266070 -37.7463537691,144.6998241024 -37.7463356646,144.6998214547 -37.7463175733,144.6998194196 -37.7463044327,144.6998172698 -37.7462913032,144.6998150236 -37.7462781837,144.6998126990 -37.7462650729,144.6998103201 -37.7462519601,144.6998078719 -37.7462388551,144.6998053093 -37.7462257641,144.6998025874 -37.7462126937,144.6997997241 -37.7461996537,144.6997967321 -37.7461866311,144.6997935664 -37.7461736349,144.6997901825 -37.7461606740,144.6997865787 -37.7461477620,144.6997827742 -37.7461348850,144.6997787649 -37.7461220470,144.6997745467 -37.7461092520,144.6997691814 -37.7460938405,144.6997635579 -37.7460784854,144.6997577035 -37.7460631839,144.6997516452 -37.7460479332,144.6997453846 -37.7460327166,144.6997389140 -37.7460175541,144.6997322284 -37.7460024500,144.6997253227 -37.7459874092,144.6997182008 -37.7459724339,144.6997108642 -37.7459575225,144.6997033072 -37.7459426802,144.6996955243 -37.7459279122,144.6996875545 -37.7459132242,144.6996793831 -37.7458986040,144.6996709501 -37.7458840785,144.6996621954 -37.7458696747,144.6996476645 -37.7458468795,144.6996326454 -37.7458242792,144.6996171807 -37.7458018665,144.6996013132 -37.7457796340,144.6995849374 -37.7457575968,144.6995680886 -37.7457357805,144.6995509537 -37.7457141003,144.6995337194 -37.7456924711,144.6995166236 -37.7456707175,144.6994995221 -37.7456489590,144.6994819497 -37.7456274535,144.6994634410 -37.7456064594,144.6994209748 -37.7455619263,144.6993768875 -37.7455183574,144.6993311535 -37.7454758698,144.6992837466 -37.7454345806,144.6992326886 -37.7453922883,144.6991801870 -37.7453510502,144.6991256441 -37.7453115994,144.6990684625 -37.7452746694,144.6990001165 -37.7452370807,144.6989287765 -37.7452029445,144.6988562011 -37.7451702384,144.6987841489 -37.7451369396,144.6986686797 -37.7450810486,144.6985532581 -37.7450250896,144.6984374358 -37.7449696648,144.6983207649 -37.7449153766,144.6982070030 -37.7448644708,144.6980924393 -37.7448146892,144.6979775236 -37.7447654021,144.6978627060 -37.7447159797,144.6977119748 -37.7446506558,144.6975611857 -37.7445854152,144.6974103081 -37.7445203028,144.6972593116 -37.7444553632,144.6970555680 -37.7443682408,144.6968516126 -37.7442814280,144.6966476431 -37.7441946356,144.6964438576 -37.7441075741,144.6962912322 -37.7440423177,144.6961386038 -37.7439770632,144.6959862476 -37.7439114177,144.6958344388 -37.7438449883,144.6956041292 -37.7437420297,144.6953747053 -37.7436378342,144.6951456357 -37.7435331439,144.6949163889 -37.7434287007)
107		3	1	1	323.096	POINT(144.6994996557 -37.7439852074)	LINESTRING(144.6988567425 -37.7429236272,144.6988180944 -37.7429639869,144.6987786826 -37.7430039594,144.6987407981 -37.7430447062,144.6987067317 -37.7430873887,144.6986840785 -37.7431217184,144.6986640089 -37.7431571031,144.6986462524 -37.7431932829,144.6986305382 -37.7432299980,144.6986195815 -37.7432607602,144.6986106711 -37.7432919661,144.6986031111 -37.7433234312,144.6985962053 -37.7433549706,144.6985905710 -37.7433823560,144.6985856353 -37.7434098346,144.6985816264 -37.7434373986,144.6985787723 -37.7434650402,144.6985766820 -37.7434983707,144.6985758306 -37.7435317533,144.6985764087 -37.7435651303,144.6985786067 -37.7435984436,144.6985829308 -37.7436315051,144.6985891249 -37.7436644056,144.6985962102 -37.7436972243,144.6986032076 -37.7437300404,144.6986087944 -37.7437590668,144.6986143474 -37.7437881070,144.6986205983 -37.7438170372,144.6986282791 -37.7438457338,144.6986382890 -37.7438761147,144.6986496430 -37.7439062145,144.6986620561 -37.7439360639,144.6986752435 -37.7439656930,144.6986867820 -37.7439901402,144.6986990189 -37.7440143819,144.6987119900 -37.7440383818,144.6987257310 -37.7440621036,144.6987341533 -37.7440755910,144.6987430405 -37.7440888955,144.6987522784 -37.7441020540,144.6987617532 -37.7441151033,144.6987714802 -37.7441280627,144.6987814902 -37.7441408889,144.6987917444 -37.7441535950,144.6988022040 -37.7441661940,144.6988128905 -37.7441786924,144.6988238034 -37.7441910694,144.6988349074 -37.7442033406,144.6988461673 -37.7442155213,144.6988575584 -37.7442275988,144.6988691132 -37.7442395799,144.6988808349 -37.7442514590,144.6988927270 -37.7442632305,144.6989018013 -37.7442720108,144.6989109984 -37.7442807119,144.6989203251 -37.7442893260,144.6989297881 -37.7442978455,144.6989394051 -37.7443062721,144.6989491589 -37.7443146010,144.6989590331 -37.7443228411,144.6989690116 -37.7443310014,144.6989791034 -37.7443390820,144.6989893077 -37.7443470748,144.6989996095 -37.7443549892,144.6990099942 -37.7443628350,144.6990204470 -37.7443706100,144.6990309840 -37.7443783143,144.6990416107 -37.7443859410,144.6990523327 -37.7443934831,144.6990627938 -37.7444006959,144.6990733427 -37.7444078292,144.6990839810 -37.7444148788,144.6990947101 -37.7444218410,144.6991055448 -37.7444287111,144.6991164732 -37.7444354886,144.6991274786 -37.7444421883,144.6991385440 -37.7444488253,144.6991496797 -37.7444553976,144.6991608850 -37.7444618960,144.6991721442 -37.7444683363,144.6991834418 -37.7444747340,144.6991947667 -37.7444810927,144.6992061327 -37.7444874059,144.6992175454 -37.7444936658,144.6992290109 -37.7444998648,144.6992425140 -37.7445070624,144.6992560742 -37.7445141931,144.6992696954 -37.7445212505,144.6992833814 -37.7445282286,144.6992971461 -37.7445351160,144.6993109796 -37.7445419173,144.6993248619 -37.7445486566,144.6993387731 -37.7445553582,144.6993527242 -37.7445620160,144.6993667167 -37.7445686194,144.6993807318 -37.7445751932,144.6993947506 -37.7445817619,144.6994087674 -37.7445883287,144.6994227941 -37.7445948824,144.6994368310 -37.7446014224,144.6994508784 -37.7446079483,144.6994732388 -37.7446183172,144.6994956114 -37.7446286695,144.6995180089 -37.7446389880,144.6995404439 -37.7446492553,144.6995629247 -37.7446594615,144.6995854421 -37.7446696171,144.6996079853 -37.7446797370,144.6996305435 -37.7446898359,144.6996531213 -37.7446999092,144.6996757211 -37.7447099516,144.6996983324 -37.7447199779,144.6997209445 -37.7447300030,144.6997435549 -37.7447400296,144.6997661695 -37.7447500503,144.6997887890 -37.7447600640,144.6998114142 -37.7447700697,144.6998502234 -37.7447872207,144.6998890395 -37.7448043621,144.6999278699 -37.7448214830,144.6999667222 -37.7448385729,144.7000056022 -37.7448556237,144.7000445044 -37.7448726428,144.7000834201 -37.7448896427,144.7001223406 -37.7449066356,144.7001612690 -37.7449236176,144.7002002080 -37.7449405845,144.7002391489 -37.7449575485,144.7002780831 -37.7449745222,144.7003170075 -37.7449915097,144.7003559271 -37.7450085040,144.7003948448 -37.7450255011,144.7004337635 -37.7450424968)
