$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX	VEHS(50)	VEHDELAY(50)	STOPDELAY(50)	LOS(50)	LOSVAL(50)
1	3600-7200	46			1218	1080	2	90	18	0.49	0.51	0.37	0.34	0.52	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	8.69	28	0.41	0.00	LOS_A	1
1	3600-7200	47-4: Caroline Springs Blvd@6.8-212: Caroline Springs Blvd@4.7	4	212	620	585	0	16	2	1.75	1.23		2.70	1.47	0.03	0.02		0.31	0.00	LOS_A	1	0.12	51.57	17	18.72	0.00	LOS_C	3
1	3600-7200	47-4: Caroline Springs Blvd@6.8-446@6.0	4	446	0	0	0	0	0											LOS_A		0.12	51.57	0			LOS_A	
1	3600-7200	47-447@32.5-212: Caroline Springs Blvd@4.7	447	212	4	4	0	0	0	0.02	0.02				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	47-887: Caroline Springs Blvd@16.4-448@12.1	887	448	371	325	0	26	3	0.34	0.24		0.32	0.10	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	17	2.24	0.00	LOS_A	1
1	3600-7200	47			995	914	0	42	5	1.22	0.88		1.23	0.65	0.02	0.01		0.12	0.00	LOS_A	1	0.04	51.57	34	10.48	0.00	LOS_B	2
1	3600-7200	49-351: Delma Rd@85.2-352: Eucumbene Dr@37.8	351	352	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	49-351: Delma Rd@85.2-506: Zone connector@80.7	351	506	9	9	0	0	0	0.12	0.12				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	49-353: Eucumbene Dr@275.9-350: Delma Rd@23.2	353	350	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	3600-7200	49-353: Eucumbene Dr@275.9-506: Zone connector@80.7	353	506	36	36	0	0	0	0.07	0.07				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	49-505: Zone connector@77.8-350: Delma Rd@23.2	505	350	2	0	0	2	0	0.05			0.05		0.00			0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	49-505: Zone connector@77.8-352: Eucumbene Dr@37.8	505	352	1	0	0	1	0	0.00			0.00		0.00			0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	49			48	45	0	3	0	0.08	0.08		0.04		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	50-115: Western Hwy@22.9-209: Ballarat Rd  Western Hwy@28.7	115	209	481	464	1	12	4	0.12	0.11	0.00	0.30	0.26	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	50-115: Western Hwy@22.9-283: Christies Rd@7.9	115	283	50	50	0	0	0	3.16	3.16				0.06	0.06				LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-114: Western Hwy@17.3	461	114	186	167	0	18	1	0.06	0.05		0.05	0.52	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-209: Ballarat Rd  Western Hwy@28.7	461	209	2	0	0	2	0	0.48			0.48		0.00			0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-215: Caroline Springs Blvd@5.8	461	215	13	9	0	4	0	0.51	0.32		0.93		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	50-648: Christies Rd@27.9-114: Western Hwy@17.3	648	114	20	18	0	2	0	0.37	0.33		0.71		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	50-648: Christies Rd@27.9-209: Ballarat Rd  Western Hwy@28.7	648	209	52	47	0	5	0	2.71	2.43		5.28		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	50-648: Christies Rd@27.9-215: Caroline Springs Blvd@5.8	648	215	157	124	0	15	1	0.21	0.15		0.32	0.77	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	17	0.56	0.00	LOS_A	1
1	3600-7200	50-649@8.2-283: Christies Rd@7.9	649	283	111	89	2	17	3	1.15	1.12	2.38	1.07	1.75	0.03	0.04	0.00	0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	50-651@22.8-215: Caroline Springs Blvd@5.8	651	215	201	192	0	7	2	0.59	0.54		1.54	2.11	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	50-652: Caroline Springs Blvd@21.4-114: Western Hwy@17.3	652	114	67	62	0	4	1	0.91	0.83		1.78	2.50	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	50-652: Caroline Springs Blvd@21.4-209: Ballarat Rd  Western Hwy@28.7	652	209	35	33	0	2	0	4.47	4.39		5.71		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	3600-7200	50-652: Caroline Springs Blvd@21.4-283: Christies Rd@7.9	652	283	522	494	0	10	1	0.89	0.79		1.30	0.30	0.01	0.01		0.00	0.00	LOS_A	1	0.00	0.00	17	3.52	0.00	LOS_A	1
1	3600-7200	50			1897	1749	3	98	13	0.71	0.66	1.58	1.05	1.12	0.01	0.01	0.00	0.00	0.00	LOS_A	1	0.00	0.00	34	2.04	0.00	LOS_A	1
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-10: Ballarat Rd  Western Hwy@18.5	7	10	1	1	0	0	0	0.05	0.05				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
