$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	49-351: Delma Rd@85.2-506: Zone connector@80.7	351	506	18	18	0	0	0	2.52	2.52				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	49-353: Eucumbene Dr@275.9-350: Delma Rd@23.2	353	350	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	49-353: Eucumbene Dr@275.9-506: Zone connector@80.7	353	506	53	53	0	0	0	1.01	1.01				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	49-505: Zone connector@77.8-350: Delma Rd@23.2	505	350	4	1	0	3	0	0.00	0.00		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	49-505: Zone connector@77.8-352: Eucumbene Dr@37.8	505	352	1	1	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	49			76	73	0	3	0	1.30	1.36		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-115: Western Hwy@22.9-209: Ballarat Rd  Western Hwy@28.7	115	209	630	606	0	24	0	0.56	0.54		1.09		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-115: Western Hwy@22.9-283: Christies Rd@7.9	115	283	73	72	1	0	0	0.82	0.75	6.25			0.00	0.00	0.00			LOS_A	1	0.00	0.00
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-114: Western Hwy@17.3	461	114	331	298	0	28	5	0.09	0.07		0.23	0.43	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-209: Ballarat Rd  Western Hwy@28.7	461	209	4	1	0	3	0	3.27	1.71		3.80		0.00	0.00		0.00		LOS_A	1	0.00	0.00
