$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	7200-10800	50-652: Caroline Springs Blvd@21.4-209: Ballarat Rd  Western Hwy@28.7	652	209	277	265	0	6	6	10.06	10.05		10.79	9.50	0.11	0.11		0.00	0.00	LOS_B	2	1.37	91.34
1	7200-10800	50-652: Caroline Springs Blvd@21.4-283: Christies Rd@7.9	652	283	483	429	1	27	19	4.54	4.46	5.63	6.06	4.07	0.30	0.29	0.00	0.86	0.00	LOS_A	1	2.52	121.83
1	7200-10800	50			5360	4916	11	241	178	18.08	18.71	6.55	12.86	9.69	3.09	3.27	0.00	1.72	0.57	LOS_C	3	33.68	419.15
1	7200-10800	51-7: Ballarat Rd  Western Hwy@16.6-10: Ballarat Rd  Western Hwy@18.5	7	10	45	38	0	3	4	0.86	0.90		0.52	0.67	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	7200-10800	51-7: Ballarat Rd  Western Hwy@16.6-385: Chisholm Dr@11.7	7	385	21	21	0	0	0	5.17	5.17				0.00	0.00				LOS_A	1	0.00	0.00
1	7200-10800	51-7: Ballarat Rd  Western Hwy@16.6-670: Ballarat Rd  Western Hwy@1.4	7	670	79	77	0	1	1	70.87	72.00		33.74	20.93	29.57	30.31		2.52	0.00	LOS_F	6	0.00	0.00
1	7200-10800	51-7: Ballarat Rd  Western Hwy@16.6-671: Panamax Rd@7.5	7	671	0	0	0	0	0											LOS_A		0.00	0.00
1	7200-10800	51-347: Panamax Rd@4.8-10: Ballarat Rd  Western Hwy@18.5	347	10	373	355	0	8	10	81.42	81.58		86.85	71.48	43.63	44.11		41.72	28.33	LOS_F	6	0.00	0.00
1	7200-10800	51-347: Panamax Rd@4.8-385: Chisholm Dr@11.7	347	385	65	62	0	1	2	99.99	99.94		54.70	124.16	56.33	56.78		14.56	63.17	LOS_F	6	0.00	0.00
1	7200-10800	51-347: Panamax Rd@4.8-670: Ballarat Rd  Western Hwy@1.4	347	670	444	419	0	15	10	146.45	144.62		146.54	222.84	82.57	81.70		75.62	129.72	LOS_F	6	207.08	249.65
1	7200-10800	51-360: Ballarat Rd  Western Hwy@55.2-10: Ballarat Rd  Western Hwy@18.5	360	10	628	552	1	39	36	1.87	1.75	6.58	2.24	3.14	0.04	0.05	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	7200-10800	51-360: Ballarat Rd  Western Hwy@55.2-385: Chisholm Dr@11.7	360	385	118	107	0	5	6	6.46	6.21		7.15	10.18	0.13	0.14		0.00	0.00	LOS_A	1	0.00	0.00
