$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
2	7200-10800	311-2347@41.2-2344: Leakes Rd@11.3	2347	2344	284	272	0	10	2	4.62	4.61		5.43	1.95	0.11	0.11		0.19	0.00	LOS_A	1	0.08	33.00
2	7200-10800	311-2347@41.2-2353@40.0	2347	2353	2	2	0	0	0	0.03	0.03				0.00	0.00				LOS_A	1	0.00	0.00
2	7200-10800	311-2347@41.2-2356@40.3	2347	2356	24	22	0	2	0	1.26	1.38		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	7200-10800	311-2354@38.7-2344: Leakes Rd@11.3	2354	2344	126	122	0	4	0	3.57	3.43		7.98		0.62	0.59		1.54		LOS_A	1	0.00	0.00
2	7200-10800	311-2354@38.7-2350@32.4	2354	2350	18	18	0	0	0	0.29	0.29				0.00	0.00				LOS_A	1	0.00	0.00
2	7200-10800	311-2354@38.7-2353@40.0	2354	2353	7	7	0	0	0	0.10	0.10				0.00	0.00				LOS_A	1	0.00	0.00
2	7200-10800	311-2360@81.7-2344: Leakes Rd@11.3	2360	2344	404	375	0	22	4	2.72	2.65		3.48	3.32	0.02	0.02		0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	311-2360@81.7-2350@32.4	2360	2350	17	16	0	1	0	0.08	0.03		0.74		0.00	0.00		0.00		LOS_A	1	0.00	0.00
2	7200-10800	311-2360@81.7-2356@40.3	2360	2356	14	14	0	0	0	2.19	2.19				0.00	0.00				LOS_A	1	0.00	0.00
2	7200-10800	311			1606	1508	0	77	15	1.98	1.93		2.54	1.46	0.08	0.07		0.20	0.00	LOS_A	1	0.04	33.00
2	7200-10800	312-2419@3.3-24810@22.1	2419	24810	302	290	0	10	2	0.07	0.06		0.18	0.40	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	312-2420@4.1-2422@13.2	2420	2422	294	252	3	33	6	0.73	0.75	1.28	0.56	0.83	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	312-2475@44.5-2391@3.4	2475	2391	492	441	5	33	13	0.27	0.27	0.37	0.25	0.12	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
2	7200-10800	312-2475@44.5-2422@13.2	2475	2422	73	66	0	6	1	4.19	3.86		7.28	7.62	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
