$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX	VEHS(50)	VEHDELAY(50)	STOPDELAY(50)	LOS(50)	LOSVAL(50)
1	18000-21600	68-2157: Hopkins Rd@4.7-66: Meskos Rd@23.0	2157	66	12	11	0	1	0	2.95	2.72		5.46		0.00	0.00		0.00		LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	68-2157: Hopkins Rd@4.7-82: Sheahan Rd@25.9	2157	82	5	5	0	0	0	4.02	4.02				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	68-2195: Meskos Rd@18.4-12: Hopkins Rd@3.8	2195	12	91	77	0	5	2	1.04	0.54		2.78	3.09	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	7	4.69	0.00	LOS_A	1
1	18000-21600	68-2195: Meskos Rd@18.4-55: Hopkins Rd@43.4	2195	55	29	29	0	0	0	2.22	2.22				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	68-2195: Meskos Rd@18.4-82: Sheahan Rd@25.9	2195	82	1	1	0	0	0	0.01	0.01				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	68			1439	1320	2	51	40	1.25	1.15	0.38	1.97	2.57	0.00	0.00	0.00	0.00	0.03	LOS_A	1	0.00	34.51	26	3.06	0.00	LOS_A	1
1	18000-21600	69-290: Caroline Springs Blvd@7.8-60: Caroline Springs Blvd@15.2	290	60	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	69-290: Caroline Springs Blvd@7.8-291: Caroline Springs Blvd@13.3	290	291	804	749	0	21	17	0.51	0.48		0.43	0.47	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	17	2.00	0.00	LOS_A	1
1	18000-21600	69-290: Caroline Springs Blvd@7.8-293: Chisholm Dr@13.5	290	293	60	54	0	3	3	0.49	0.50		0.45	0.44	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	69-290: Caroline Springs Blvd@7.8-431: Springlake Ave@15.6	290	431	36	36	0	0	0	2.16	2.16				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	69-292: Caroline Springs Blvd@170.8-60: Caroline Springs Blvd@15.2	292	60	427	387	0	13	10	1.13	0.57		0.36	0.43	0.01	0.01		0.00	0.00	LOS_A	1	0.00	0.00	17	14.85	0.00	LOS_B	2
1	18000-21600	69-292: Caroline Springs Blvd@170.8-291: Caroline Springs Blvd@13.3	292	291	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	69-292: Caroline Springs Blvd@170.8-293: Chisholm Dr@13.5	292	293	4	4	0	0	0	0.04	0.04				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	69-292: Caroline Springs Blvd@170.8-431: Springlake Ave@15.6	292	431	21	21	0	0	0	1.01	1.01				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	69-294: Chisholm Dr@69.6-60: Caroline Springs Blvd@15.2	294	60	20	20	0	0	0	0.11	0.11				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	69-294: Chisholm Dr@69.6-291: Caroline Springs Blvd@13.3	294	291	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	69-294: Chisholm Dr@69.6-293: Chisholm Dr@13.5	294	293	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	69-294: Chisholm Dr@69.6-431: Springlake Ave@15.6	294	431	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	69-430: Springlake Ave@96.9-60: Caroline Springs Blvd@15.2	430	60	19	19	0	0	0	0.37	0.37				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	69-430: Springlake Ave@96.9-291: Caroline Springs Blvd@13.3	430	291	20	20	0	0	0	0.48	0.48				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	69-430: Springlake Ave@96.9-293: Chisholm Dr@13.5	430	293	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	69-430: Springlake Ave@96.9-431: Springlake Ave@15.6	430	431	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	69			1411	1310	0	37	30	0.74	0.55		0.40	0.45	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	34	8.43	0.00	LOS_A	1
1	18000-21600	70-352: Eucumbene Dr@292.9-111: Christies Rd@15.7	352	111	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	70-647: Christies Rd@8.4-111: Christies Rd@15.7	647	111	429	392	0	11	9	1.14	1.17		0.47	1.36	0.01	0.01		0.00	0.00	LOS_A	1	0.00	0.00	17	0.81	0.00	LOS_A	1
1	18000-21600	70-647: Christies Rd@8.4-353: Eucumbene Dr@18.0	647	353	29	29	0	0	0	2.51	2.51				0.32	0.32				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	70-647: Christies Rd@8.4-1920@12.9	647	1920	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	70-891: Christies Rd@8.7-287: Christies Rd@20.9	891	287	523	475	0	16	15	0.80	0.81		1.14	0.84	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	17	0.19	0.00	LOS_A	1
1	18000-21600	70-891: Christies Rd@8.7-353: Eucumbene Dr@18.0	891	353	7	7	0	0	0	5.98	5.98				0.00	0.00				LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	70-891: Christies Rd@8.7-1920@12.9	891	1920	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	70-1919@25.6-287: Christies Rd@20.9	1919	287	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	70			988	903	0	27	24	1.04	1.06		0.87	1.03	0.01	0.01		0.00	0.00	LOS_A	1	0.00	0.00	34	0.50	0.00	LOS_A	1
1	18000-21600	71-111: Christies Rd@84.9-129@9.8	111	129	311	302	0	5	4	0.07	0.06		0.05	0.17	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	71-111: Christies Rd@84.9-282: Christies Rd@12.4	111	282	118	90	0	6	5	0.10	0.10		0.00	0.04	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	17	0.14	0.00	LOS_A	1
1	18000-21600	71-274: Christies Rd@5.8-112: Christies Rd@6.8	274	112	530	482	0	16	15	1.92	1.99		2.16	1.22	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	17	0.41	0.00	LOS_A	1
1	18000-21600	71-274: Christies Rd@5.8-129@9.8	274	129	120	109	0	7	4	2.69	2.51		4.17	4.93	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	0			LOS_A	
1	18000-21600	71			1079	983	0	34	28	1.27	1.28		1.88	1.39	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00	34	0.28	0.00	LOS_A	1
1	18000-21600	72-279: Christies Rd@96.9-280: Christies Rd@44.5	279	280	0	0	0	0	0											LOS_A		0.00	0.00	0			LOS_A	
1	18000-21600	72-279: Christies Rd@96.9-394: Christies Rd@15.7	279	394	81	54	0	6	4	3.69	3.77		2.82	5.74	0.73	0.83		0.00	0.23	LOS_A	1	0.00	0.00	17	3.27	0.77	LOS_A	1
1	18000-21600	72-279: Christies Rd@96.9-626: Palm Springs Rd@75.1	279	626	37	36	0	0	1	9.04	9.27			0.63	1.35	1.39			0.00	LOS_A	1	0.00	0.00	0			LOS_A	
